Unnamed: 0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
2360,27073156703,4,1.0,0.6000000238418579,5,2,3,2021-09-10,This product is pretty good. I used it if I don’t have anymore Ordinary products. I find if I use the Ordinary Hyaluronic Acid 2% + B5 & Ordinary 100% Plant-Derived Squalane during night it actually works amazing!!!! No joke. I have tried a lot of lip balms and honestly I have found that those two Ordinary products help the most. Just put the hyaluronic first and then the 100% plant serum over and you’re good to go! TRY IT,Pretty good,medium,brown,oily,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2361,6685384419,5,1.0,1.0,1,0,1,2021-09-10,This product is literally my savior and I’m so glad I tried it because it introduced me to the brand as a whole. One little tub lasts such a long time and it hydrates my lips so quickly! It smells amazing and is not too thick either.,,lightMedium,brown,dry,black,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2362,30344193016,5,1.0,,0,0,0,2021-09-10,"Bought this after getting a sample and I use this religiously. It lasts forever, smells great and is a must have.",,fair,blue,dry,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2363,2130824453,5,1.0,1.0,4,0,4,2021-09-09,Love this product! It’s super hydrating on the lips and smells great. It is on the thicker side so a little does go a long way!,LOVE THIS PRODUCT.,mediumTan,brown,oily,black,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2364,22053051499,5,1.0,1.0,5,0,5,2021-09-08,I absolutely cannot live without this. I use it every night & in the morning in the winter. It really keeps my lips from cracking & flaking. Im outside in crappy weather for my job & this stuff is a lip saver for sure,MUST HAVE,light,green,combination,gray,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2365,6641226746,5,1.0,1.0,1,0,1,2021-09-08,"My new favourite product! The smell, the texture, I love everything about this product ! Going to purchase in every scent",amazing !!!!!! give me every scent you have !!!!,lightMedium,hazel,combination,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2366,21361013373,5,1.0,,0,0,0,2021-09-08,"I love how moisturizing and plumping this product is absolutely a must have, it’s something I will repurchase over and over again:)",Must have,light,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2367,2717413969,3,0.0,1.0,1,0,1,2021-09-07,Got this in the birthday gift pack. It is really hydrating but kind of thick. I like the feel and long term results of the Bite Lip Mask,,lightMedium,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2368,1359793317,5,1.0,0.857142984867096,7,1,6,2021-09-07,"Best stuff I’ve ever used! I have severely dry lips and have used everything from high end to drug store brand. Lots of things feel ok but truly don’t fix the issue. I got a mini size as my bday gift and I’m so glad I chose this item! My lips arent dry anymore! Even if I don’t have this on my lips, they only get dry not chapped and cracked and peeling. It is amazing and I hope it never gets discontinued! I’ve already purchased a full size which comes with a lip applicator and I think that’s amazing too! And I also bought the tube version for my handbag. Now I have one for everywhere that I’ll be!!! Thanks so much for a product that actually works! It’s my holy grail please don’t discontinue!!!!",Best lip product ever,mediumTan,brown,combination,,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2369,23272083318,5,1.0,0.5,2,1,1,2021-09-07,"amazing!!! omg i can’t go to sleep without putting this stuff on. i wake up in the morning with smooth nourished lips. i used to wake up with dry, chapped lips before using this. it’s a necessity!",YOU NEED THIS!,lightMedium,brown,combination,black,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
